Imperfective	Perfective
завозить	завезти
навозить	навезти
обвозить	обвезти
ввозить	ввезти
подвозить	подвезти
перевозить	перевезти
развозить	развезти
развозить	развезти
взвозить	взвезти
привозить	привезти
довозить	довезти
провозить	провезти
свозить	свезти
отвозить	отвезти
увозить	увезти
вывозить	вывезти
вылезать	вылезти
заползать	заползти
наползать	наползти
обползать	обползти
вползать	вползти
подползать	подползти
переползать	переползти
приползать	приползти
оползать	оползти
оползать	оползти
доползать	доползти
проползать	проползти
сползать	сползти
всползать	всползти
отползать	отползти
уползать	уползти
выползать	выползти
заходить	зайти
находить	найти
переходить	перейти
преходить	прейти
приходить	прийти
обходить	обойти
входить	войти
доходить	дойти
подходить	подойти
всходить	взойти
превосходить	превзойти
исходить	изойти
нисходить	низойти
снисходить	снизойти
происходить	произойти
проходить	пройти
сходить	сойти
отходить	отойти
уходить	уйти
выходить	выйти
запасать	запасти
напасать	напасти
припасать	припасти
спасать	спасти
выпасать	выпасти
зарастать	зарасти
нарастать	нарасти
обрастать	обрасти
врастать	врасти
надрастать	надрасти
подрастать	подрасти
перерастать	перерасти
взрастать	взрасти
произрастать	произрасти
возрастать	возрасти
прирастать	прирасти
дорастать	дорасти
порастать	порасти
прорастать	прорасти
отрастать	отрасти
вырастать	вырасти
заводить	завести
обзаводить	обзавести
наводить	навести
обводить	обвести
вводить	ввести
подводить	подвести
переводить	перевести
разводить	развести
взводить	взвести
изводить	извести
низводить	низвести
производить	произвести
перепроизводить	перепроизвести
воспроизводить	воспроизвести
возводить	возвести
приводить	привести
доводить	довести
поводить	повести
проводить	провести
сводить	свести
рассветать	рассвести
отводить	отвести
уводить	увести
зацветать	зацвести
доцветать	доцвести
процветать	процвести
расцветать	расцвести
отцветать	отцвести
выцветать	выцвести
выводить	вывести
заплетать	заплести
наплетать	наплести
вплетать	вплести
подплетать	подплести
переплетать	переплести
приплетать	приплести
оплетать	оплести
доплетать	доплести
проплетать	проплести
сплетать	сплести
расплетать	расплести
отплетать	отплести
уплетать	уплести
выплетать	выплести
заметать	замести
наметать	намести
обметать	обмести
вметать	вмести
подметать	подмести
переметать	перемести
разметать	размести
взметать	взмести
приметать	примести
дометать	домести
прометать	промести
сметать	смести
отметать	отмести
уметать	умести
выметать	вымести
заносить	занести
наносить	нанести
обносить	обнести
вносить	внести
привносить	привнести
нагнетать	нагнести
пригнетать	пригнести
сгнетать	сгнести
угнетать	угнести
подносить	поднести
преподносить	преподнести
переносить	перенести
разносить	разнести
взносить	взнести
произносить	произнести
возносить	вознести
превозносить	превознести
приносить	принести
доносить	донести
проносить	пронести
сносить	снести
относить	отнести
соотносить	соотнести
уносить	унести
выносить	вынести
забредать	забрести
набредать	набрести
подбредать	подбрести
перебредать	перебрести
взбредать	взбрести
прибредать	прибрести
обретать	обрести
добредать	добрести
изобретать	изобрести
приобретать	приобрести
сбредать	сбрести
выбредать	выбрести
загребать	загрести
нагребать	нагрести
подгребать	подгрести
перегребать	перегрести
разгребать	разгрести
пригребать	пригрести
огребать	огрести
догребать	догрести
погребать	погрести
прогребать	прогрести
сгребать	сгрести
отгребать	отгрести
угребать	угрести
выгребать	выгрести
наскребывать	наскрести
подскребывать	подскрести
оскребывать	оскрести
доскребывать	доскрести
проскребывать	проскрести
соскребывать	соскрести
отскребывать	отскрести
выскребывать	выскрести
соблюдать	соблюсти
натрясать	натрясти
обтрясать	обтрясти
перетрясать	перетрясти
отрясать	отрясти
потрясать	потрясти
протрясать	протрясти
сотрясать	сотрясти
стрясать	стрясти
растрясать	растрясти
оттрясать	оттрясти
утрясать	утрясти
вытрясать	вытрясти
сползаться	сползтись
расползаться	расползтись
отверзаться	отверзтись
заходиться	зайтись
находиться	найтись
приходиться	прийтись
обходиться	обойтись
расходиться	разойтись
прохаживаться	пройтись
сходиться	сойтись
запасаться	запастись
напасаться	напастись
припасаться	припастись
спасаться	спастись
разрастаться	разрастись
срастаться	срастись
заводиться	завестись
обзаводиться	обзавестись
переводиться	перевестись
разводиться	развестись
взводиться	взвестись
изводиться	известись
воспроизводиться	воспроизвестись
приводиться	привестись
доводиться	довестись
сводиться	свестись
выводиться	вывестись
заплетаться	заплестись
вплетаться	вплестись
переплетаться	переплестись
приплетаться	приплестись
доплетаться	доплестись
сплетаться	сплестись
расплетаться	расплестись
отплетаться	отплестись
выплетаться	выплестись
выметаться	выместись
заноситься	занестись
вноситься	внестись
подноситься	поднестись
переноситься	перенестись
разноситься	разнестись
взноситься	взнестись
возноситься	вознестись
превозноситься	превознестись
приноситься	принестись
доноситься	донестись
проноситься	пронестись
сноситься	снестись
относиться	отнестись
уноситься	унестись
выноситься	вынестись
разбредаться	разбрестись
сбредаться	сбрестись
подгребаться	подгрестись
пригребаться	пригрестись
огребаться	огрестись
сгребаться	сгрестись
отгребаться	отгрестись
выгребаться	выгрестись
доскребываться	доскрестись
отрясаться	отрястись
потрясаться	потрястись
сотрясаться	сотрястись
стрясаться	стрястись
растрясаться	растрястись
утрясаться	утрястись
вытрясаться	вытрястись
дохлебывать	дохлебать
схлебывать	схлебать
расхлебывать	расхлебать
отхлебывать	отхлебать
выхлебывать	выхлебать
расхлябывать	расхлябать
нажевывать	нажевать
обжевывать	обжевать
намежевывать	намежевать
обмежевывать	обмежевать
перемежевывать	перемежевать
размежевывать	размежевать
примежевывать	примежевать
отмежевывать	отмежевать
вымежевывать	вымежевать
пережевывать	пережевать
разжевывать	разжевать
изжевывать	изжевать
дожевывать	дожевать
прожевывать	прожевать
сжевывать	сжевать
отжевывать	отжевать
раскряжевывать	раскряжевать
прозевывать	прозевать
замалевывать	замалевать
намалевывать	намалевать
подмалевывать	подмалевать
перемалевывать	перемалевать
размалевывать	размалевать
измалевывать	измалевать
вымалевывать	вымалевать
заблевывать	заблевать
изблевывать	изблевать
облевывать	облевать
сблевывать	сблевать
выблевывать	выблевать
заштемпелевывать	заштемпелевать
перештемпелевывать	перештемпелевать
проштемпелевывать	проштемпелевать
заклевывать	заклевать
наклевывать	наклевать
зашпаклевывать	зашпаклевать
подшпаклевывать	подшпаклевать
прошпаклевывать	прошпаклевать
обклевывать	обклевать
подклевывать	подклевать
оклевывать	оклевать
доклевывать	доклевать
проклевывать	проклевать
склевывать	склевать
расклевывать	расклевать
исклевывать	исклевать
отклевывать	отклевать
выклевывать	выклевать
заплевывать	заплевать
оплевывать	оплевать
исплевывать	исплевать
выплевывать	выплевать
завоевывать	завоевать
отвоевывать	отвоевать
облицовывать	облицевать
перелицовывать	перелицевать
перетанцовывать	перетанцевать
дотанцовывать	дотанцевать
вытанцовывать	вытанцевать
освинцовывать	освинцевать
заторцовывать	заторцевать
приторцовывать	приторцевать
развальцовывать	развальцевать
закольцовывать	закольцевать
окольцовывать	окольцевать
перекочевывать	перекочевать
прикочевывать	прикочевать
откочевывать	откочевать
укочевывать	укочевать
накорчевывать	накорчевать
раскорчевывать	раскорчевать
выкорчевывать	выкорчевать
затушевывать	затушевать
подтушевывать	подтушевать
